cd<br />
<font size='1'><table class='xdebug-error xe-notice' dir='ltr' border='1' cellspacing='0' cellpadding='1'>
<tr><th align='left' bgcolor='#f57900' colspan="5"><span style='background-color: #cc0000; color: #fce94f; font-size: x-large;'>( ! )</span> Notice: Undefined offset: 232 in /data/web/www/docs/mycd/application/bin/data_download.php on line <i>123</i></th></tr>
<tr><th align='left' bgcolor='#e9b96e' colspan='5'>Call Stack</th></tr>
<tr><th align='center' bgcolor='#eeeeec'>#</th><th align='left' bgcolor='#eeeeec'>Time</th><th align='left' bgcolor='#eeeeec'>Memory</th><th align='left' bgcolor='#eeeeec'>Function</th><th align='left' bgcolor='#eeeeec'>Location</th></tr>
<tr><td bgcolor='#eeeeec' align='center'>1</td><td bgcolor='#eeeeec' align='center'>0.0011</td><td bgcolor='#eeeeec' align='right'>390272</td><td bgcolor='#eeeeec'>{main}(  )</td><td title='/data/web/www/docs/mycd/application/bin/data_download.php' bgcolor='#eeeeec'>../data_download.php<b>:</b>0</td></tr>
</table></font>
<br />
<font size='1'><table class='xdebug-error xe-notice' dir='ltr' border='1' cellspacing='0' cellpadding='1'>
<tr><th align='left' bgcolor='#f57900' colspan="5"><span style='background-color: #cc0000; color: #fce94f; font-size: x-large;'>( ! )</span> Notice: Undefined offset: 232 in /data/web/www/docs/mycd/application/bin/data_download.php on line <i>183</i></th></tr>
<tr><th align='left' bgcolor='#e9b96e' colspan='5'>Call Stack</th></tr>
<tr><th align='center' bgcolor='#eeeeec'>#</th><th align='left' bgcolor='#eeeeec'>Time</th><th align='left' bgcolor='#eeeeec'>Memory</th><th align='left' bgcolor='#eeeeec'>Function</th><th align='left' bgcolor='#eeeeec'>Location</th></tr>
<tr><td bgcolor='#eeeeec' align='center'>1</td><td bgcolor='#eeeeec' align='center'>0.0011</td><td bgcolor='#eeeeec' align='right'>390272</td><td bgcolor='#eeeeec'>{main}(  )</td><td title='/data/web/www/docs/mycd/application/bin/data_download.php' bgcolor='#eeeeec'>../data_download.php<b>:</b>0</td></tr>
</table></font>
Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",3193694,(*****)
People,"Sex and Age",Male,1515994,"(+/- 3217 )"
People,"Sex and Age",Female,1677700,"(+/- 3217 )"
People,"Sex and Age","Under 5 years",115403,"(+/- 1441 )"
People,"Sex and Age","5 to 9 years",153900,"(+/- 6080 )"
People,"Sex and Age","10 to 14 years",189662,"(+/- 6169 )"
People,"Sex and Age","15 to 19 years",208460,"(+/- 3500 )"
People,"Sex and Age","20 to 24 years",224534,"(+/- 4177 )"
People,"Sex and Age","25 to 34 years",385530,"(+/- 4289 )"
People,"Sex and Age","35 to 44 years",395192,"(+/- 3575 )"
People,"Sex and Age","45 to 54 years",412923,"(+/- 1615 )"
People,"Sex and Age","55 to 59 years",215519,"(+/- 5728 )"
People,"Sex and Age","60 to 64 years",212906,"(+/- 5728 )"
People,"Sex and Age","65 to 74 years",366492,(*****)
People,"Sex and Age","75 to 84 years",226345,"(+/- 4150 )"
People,"Sex and Age","85 years and over",86828,"(+/- 4147 )"
People,"Sex and Age","Median age (years)",43.1,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",2620960,(*****)
People,"Sex and Age","65 years and over",679665,(*****)
People,Race,"Total population",3193694,(*****)
People,Race,"One race",2966604,"(+/- 12317 )"
People,Race,White,2054764,"(+/- 16368 )"
People,Race,"Black or African American",395439,"(+/- 11148 )"
People,Race,"American Indian and Alaska Native",3082,"(+/- 1232 )"
People,Race,Asian,6573,"(+/- 2492 )"
People,Race,"Native Hawaiian and Other Pacific Islander",183,"(+/- 211 )"
People,Race,"Some other race",506563,"(+/- 15573 )"
People,Race,"Two or more races",227090,"(+/- 12317 )"
People,"Hispanic or Latino and Race","Total population",3193694,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",3134759,"(+/- 5525 )"
People,"Hispanic or Latino and Race",Mexican,9002,"(+/- 1865 )"
People,"Hispanic or Latino and Race","Puerto Rican",3038919,"(+/- 8405 )"
People,"Hispanic or Latino and Race",Cuban,11753,"(+/- 2713 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",75085,"(+/- 6117 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",58935,"(+/- 5525 )"
People,"Place of Birth","Total population",3193694,(*****)
People,"Place of Birth",Native,3106561,"(+/- 7289 )"
People,"Place of Birth","Born in Puerto Rico or the United States",3096091,"(+/- 7553 )"
People,"Place of Birth","In Puerto Rico",2934838,"(+/- 10475 )"
People,"Place of Birth","In the United States",161253,"(+/- 8246 )"
People,"Place of Birth","Born in U.S. Island areas, or born abroad of American parents",10470,"(+/- 2194 )"
People,"Place of Birth","Foreign born",87133,"(+/- 7289 )"
People,Ancestry,"Total population",N,(N)
People,Ancestry,American,N,(N)
People,Ancestry,Arab,N,(N)
People,Ancestry,Czech,N,(N)
People,Ancestry,Danish,N,(N)
People,Ancestry,Dutch,N,(N)
People,Ancestry,English,N,(N)
People,Ancestry,"French (except Basque)",N,(N)
People,Ancestry,"French Canadian",N,(N)
People,Ancestry,German,N,(N)
People,Ancestry,Greek,N,(N)
People,Ancestry,Hungarian,N,(N)
People,Ancestry,Irish,N,(N)
People,Ancestry,Italian,N,(N)
People,Ancestry,Lithuanian,N,(N)
People,Ancestry,Norwegian,N,(N)
People,Ancestry,Polish,N,(N)
People,Ancestry,Portuguese,N,(N)
People,Ancestry,Russian,N,(N)
People,Ancestry,Scotch-Irish,N,(N)
People,Ancestry,Scottish,N,(N)
People,Ancestry,Slovak,N,(N)
People,Ancestry,"Subsaharan African",N,(N)
People,Ancestry,Swedish,N,(N)
People,Ancestry,Swiss,N,(N)
People,Ancestry,Ukrainian,N,(N)
People,Ancestry,Welsh,N,(N)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",N,(N)
People,"Veteran Status","Civilian population 18 years and over",2618610,"(+/- 926 )"
People,"Veteran Status","Civilian veterans",69417,"(+/- 3407 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",3169528,"(+/- 931 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",684955,"(+/- 14633 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",571835,"(+/- 61 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52025,"(+/- 3902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",1923396,"(+/- 1016 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",308956,"(+/- 11313 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",674297,"(+/- 569 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",323974,"(+/- 7223 )"
People,"Residence 1 Year Ago","Population 1 year and over",3175835,"(+/- 2114 )"
People,"Residence 1 Year Ago","Same house",2968876,"(+/- 10447 )"
People,"Residence 1 Year Ago","Different house in Puerto Rico or the U.S.",200877,"(+/- 10005 )"
People,"Residence 1 Year Ago","In Puerto Rico",169733,"(+/- 8644 )"
People,"Residence 1 Year Ago","Same municipio",105675,"(+/- 7156 )"
People,"Residence 1 Year Ago","Different municipio",64058,"(+/- 6005 )"
People,"Residence 1 Year Ago","In the United States",31144,"(+/- 5397 )"
People,"Residence 1 Year Ago",Elsewhere,6082,"(+/- 1846 )"
Workers,"Employment Status","Population 16 years and over",2699404,"(+/- 3210 )"
Workers,"Employment Status","In labor force",1217280,"(+/- 13841 )"
Workers,"Employment Status","Civilian labor force",1214930,"(+/- 13799 )"
Workers,"Employment Status",Employed,1043560,"(+/- 14534 )"
Workers,"Employment Status",Unemployed,171370,"(+/- 8258 )"
Workers,"Employment Status","Armed Forces",2350,"(+/- 931 )"
Workers,"Employment Status","Not in labor force",1482124,"(+/- 13952 )"
Workers,"Employment Status","Civilian labor force",1214930,"(+/- 13799 )"
Workers,"Employment Status","Unemployment Rate",14.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",1022871,"(+/- 14440 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",861965,"(+/- 15349 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",79042,"(+/- 5331 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",12130,"(+/- 2240 )"
Workers,"Commuting to Work",Walked,28614,"(+/- 3175 )"
Workers,"Commuting to Work","Other means",16228,"(+/- 2112 )"
Workers,"Commuting to Work","Worked from home",24892,"(+/- 3118 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",29.8,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",1043560,"(+/- 14534 )"
Workers,Occupation,"Management, business, science, and arts occupations",345319,"(+/- 10660 )"
Workers,Occupation,"Service occupations",208839,"(+/- 8246 )"
Workers,Occupation,"Sales and office occupations",271277,"(+/- 10777 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",95101,"(+/- 5877 )"
Workers,Occupation,"Production, transportation, and material moving occupations",123024,"(+/- 5912 )"
Workers,Industry,"Civilian employed population 16 years and over",1043560,"(+/- 14534 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",12677,"(+/- 2285 )"
Workers,Industry,Construction,62573,"(+/- 5309 )"
Workers,Industry,Manufacturing,93520,"(+/- 5973 )"
Workers,Industry,"Wholesale trade",31631,"(+/- 3570 )"
Workers,Industry,"Retail trade",142677,"(+/- 7637 )"
Workers,Industry,"Transportation and warehousing, and utilities",41686,"(+/- 3967 )"
Workers,Industry,Information,16352,"(+/- 2277 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",58557,"(+/- 4666 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",106022,"(+/- 7137 )"
Workers,Industry,"Educational services, and health care and social assistance",231848,"(+/- 8930 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",105575,"(+/- 6596 )"
Workers,Industry,"Other services, except public administration",57293,"(+/- 4267 )"
Workers,Industry,"Public administration",83149,"(+/- 4850 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",1043560,"(+/- 14534 )"
Workers,"Class of Worker","Private wage and salary workers",728667,"(+/- 14921 )"
Workers,"Class of Worker","Government workers",204510,"(+/- 7164 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",108658,"(+/- 6260 )"
Workers,"Class of Worker","Unpaid family workers",1725,"(+/- 576 )"
Housing,"Housing Occupancy","Total housing units",1559505,"(+/- 7241 )"
Housing,"Housing Occupancy","Occupied housing units",1170982,"(+/- 9101 )"
Housing,"Housing Occupancy","Vacant housing units",388523,"(+/- 8985 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.7,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.6,"(+/- 0.7 )"
Housing,"Housing Tenure","Occupied housing units",1170982,"(+/- 9101 )"
Housing,"Housing Tenure",Owner-occupied,803460,"(+/- 9338 )"
Housing,"Housing Tenure",Renter-occupied,367522,"(+/- 10101 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.76,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.56,"(+/- 0.04 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",1170982,"(+/- 9101 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",173135,"(+/- 6980 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",81925,"(+/- 5133 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",124820,"(+/- 6320 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",262286,"(+/- 7276 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",184693,"(+/- 5515 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",344123,"(+/- 7905 )"
Housing,Value,"Owner-occupied units",803460,"(+/- 9338 )"
Housing,Value,"Less than $50,000",66199,"(+/- 3461 )"
Housing,Value,"$50,000 to $99,999",279685,"(+/- 7180 )"
Housing,Value,"$100,000 to $149,999",237375,"(+/- 6447 )"
Housing,Value,"$150,000 to $199,999",114926,"(+/- 4963 )"
Housing,Value,"$200,000 to $299,999",67375,"(+/- 3837 )"
Housing,Value,"$300,000 to $499,999",25017,"(+/- 2369 )"
Housing,Value,"$500,000 to $999,999",9583,"(+/- 1641 )"
Housing,Value,"$1,000,000 or more",3300,"(+/- 880 )"
Housing,Value,"Median (dollars)",110300,"(+/- 1108 )"
Housing,"Mortgage Status","Owner-occupied units",803460,"(+/- 9338 )"
Housing,"Mortgage Status","Housing units with a mortgage",308374,"(+/- 7963 )"
Housing,"Mortgage Status","Housing units without a mortgage",495086,"(+/- 7598 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",308374,"(+/- 7963 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",33078,"(+/- 3057 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",173267,"(+/- 6690 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",66368,"(+/- 4432 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",21146,"(+/- 2208 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",5595,"(+/- 1315 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4094,"(+/- 983 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4826,"(+/- 1142 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",828,"(+/- 12 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",495086,"(+/- 7598 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",406135,"(+/- 6806 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",60666,"(+/- 3819 )"
