year,state,state_po,state_fips,district,totalvotes,DEMOCRAT,REPUBLICAN,DEMOCRAT_PRCT,REPUBLICAN_PRCT,SPREAD_DR,SPREAD_RD,TOTAL_TW,DEMOCRAT_PRCT_TW,REPUBLICAN_PRCT_TW,SPREAD_DR_TW
1976,ALABAMA,AL,1,1,0,58906,98257,NA,NA,NA,NA,157163,0.3748083200244332,0.6251916799755668,-0.2503833599511336
1976,ALABAMA,AL,1,2,0,66288,90069,NA,NA,NA,NA,156357,0.42395287706978263,0.5760471229302174,-0.1520942458604348
1976,ALABAMA,AL,1,3,0,106935,0,NA,NA,NA,NA,106935,1,0,1
1976,ALABAMA,AL,1,4,0,141490,34531,NA,NA,NA,NA,176021,0.803824543662404,0.1961754563375961,0.6076490873248079
1976,ALABAMA,AL,1,5,0,113553,0,NA,NA,NA,NA,113553,1,0,1
1976,ALABAMA,AL,1,6,0,69384,92113,NA,NA,NA,NA,161497,0.4296302717697542,0.5703697282302458,-0.14073945646049157
1976,ALABAMA,AL,1,7,0,110496,0,NA,NA,NA,NA,110496,1,0,1
1976,ALASKA,AK,2,0,0,34194,83722,NA,NA,NA,NA,117916,0.2899860917941586,0.7100139082058414,-0.42002781641168285
1976,ARIZONA,AZ,4,1,0,68404,96397,NA,NA,NA,NA,164801,0.4150702969035382,0.5849297030964618,-0.16985940619292356
1976,ARIZONA,AZ,4,2,0,106054,71765,NA,NA,NA,NA,177819,0.5964154561661015,0.4035845438338985,0.19283091233220295
1976,ARIZONA,AZ,4,3,0,88854,79162,NA,NA,NA,NA,168016,0.5288424911913151,0.4711575088086849,0.0576849823826302
1976,ARIZONA,AZ,4,4,0,92435,93154,NA,NA,NA,NA,185589,0.4980629239879519,0.5019370760120482,-0.0038741520240963
1976,ARKANSAS,AR,5,1,0,116217,52565,NA,NA,NA,NA,168782,0.6885627614319062,0.31143723856809374,0.37712552286381246
1976,ARKANSAS,AR,5,2,0,144780,22819,NA,NA,NA,NA,167599,0.8638476363224125,0.13615236367758757,0.7276952726448249
1976,ARKANSAS,AR,5,3,0,0,1,NA,NA,NA,NA,1,0,1,-1
1976,ARKANSAS,AR,5,4,0,1,0,NA,NA,NA,NA,1,1,0,1
1976,CALIFORNIA,CA,6,1,0,160477,56539,NA,NA,NA,NA,217016,0.7394708224278395,0.2605291775721606,0.47894164485567886
1976,CALIFORNIA,CA,6,2,0,88829,121290,NA,NA,NA,NA,210119,0.4227556765451958,0.5772443234548041,-0.15448864690960834
1976,CALIFORNIA,CA,6,3,0,139779,52075,NA,NA,NA,NA,191854,0.7285696414982226,0.2714303585017774,0.4571392829964452
1976,CALIFORNIA,CA,6,4,0,75844,75193,NA,NA,NA,NA,151037,0.5021551010679502,0.49784489893204975,0.004310202135900498
1976,CALIFORNIA,CA,6,5,0,103746,64008,NA,NA,NA,NA,167754,0.6184412890303659,0.3815587109696341,0.23688257806073176
1976,CALIFORNIA,CA,6,6,0,86493,35359,NA,NA,NA,NA,121852,0.7098201096412041,0.29017989035879593,0.4196402192824082
1976,CALIFORNIA,CA,6,7,0,147064,45863,NA,NA,NA,NA,192927,0.7622779600574311,0.23772203994256896,0.5245559201148622
1976,CALIFORNIA,CA,6,8,0,122342,68374,NA,NA,NA,NA,190716,0.6414878667757293,0.35851213322427067,0.28297573355145866
1976,CALIFORNIA,CA,6,9,0,116398,44607,NA,NA,NA,NA,161005,0.7229464923449582,0.2770535076550418,0.44589298468991645
1976,CALIFORNIA,CA,6,10,0,111992,38088,NA,NA,NA,NA,150080,0.7462153518123668,0.25378464818763324,0.4924307036247335
1976,CALIFORNIA,CA,6,11,0,107618,62435,NA,NA,NA,NA,170053,0.6328497586046703,0.3671502413953297,0.2656995172093406
1976,CALIFORNIA,CA,6,12,0,61526,130332,NA,NA,NA,NA,191858,0.32068509001448986,0.6793149099855101,-0.3586298199710203
1976,CALIFORNIA,CA,6,13,0,135291,63130,NA,NA,NA,NA,198421,0.6818381118933984,0.3181618881066016,0.36367622378679676
1976,CALIFORNIA,CA,6,14,0,123285,46674,NA,NA,NA,NA,169959,0.7253808271406633,0.2746191728593367,0.45076165428132664
1976,CALIFORNIA,CA,6,15,0,92735,35700,NA,NA,NA,NA,128435,0.7220383851753805,0.27796161482461945,0.4440767703507611
1976,CALIFORNIA,CA,6,16,0,104545,91160,NA,NA,NA,NA,195705,0.5341968779540636,0.4658031220459365,0.06839375590812707
1976,CALIFORNIA,CA,6,17,0,103898,54270,NA,NA,NA,NA,158168,0.656883819735977,0.3431161802640231,0.3137676394719539
1976,CALIFORNIA,CA,6,18,0,56683,101658,NA,NA,NA,NA,158341,0.3579805609412597,0.6420194390587403,-0.2840388781174806
1976,CALIFORNIA,CA,6,19,0,68722,124201,NA,NA,NA,NA,192923,0.3562146555879807,0.6437853444120193,-0.2875706888240386
1976,CALIFORNIA,CA,6,20,0,71193,146158,NA,NA,NA,NA,217351,0.3275485274969979,0.6724514725030021,-0.34490294500600416
1976,CALIFORNIA,CA,6,21,0,101837,44094,NA,NA,NA,NA,145931,0.6978435013807895,0.30215649861921046,0.3956870027615791
1976,CALIFORNIA,CA,6,22,0,68543,114769,NA,NA,NA,NA,183312,0.37391441913240814,0.6260855808675919,-0.2521711617351838
1976,CALIFORNIA,CA,6,23,0,130619,86434,NA,NA,NA,NA,217053,0.6017838960991094,0.3982161039008906,0.20356779219821886
1976,CALIFORNIA,CA,6,24,0,108296,51478,NA,NA,NA,NA,159774,0.6778074029566763,0.3221925970433237,0.3556148059133526
1976,CALIFORNIA,CA,6,25,0,57966,17737,NA,NA,NA,NA,75703,0.7657028123059852,0.23429718769401478,0.5314056246119705
1976,CALIFORNIA,CA,6,26,0,59093,112619,NA,NA,NA,NA,171712,0.3441401882221394,0.6558598117778606,-0.3117196235557212
1976,CALIFORNIA,CA,6,27,0,94988,114623,NA,NA,NA,NA,209611,0.45316324047879164,0.5468367595212084,-0.09367351904241672
1976,CALIFORNIA,CA,6,28,0,114612,28303,NA,NA,NA,NA,142915,0.8019592065213589,0.19804079347864115,0.6039184130427178
1976,CALIFORNIA,CA,6,29,0,82515,10852,NA,NA,NA,NA,93367,0.8837704970706995,0.1162295029293005,0.7675409941413991
1976,CALIFORNIA,CA,6,30,0,82767,28503,NA,NA,NA,NA,111270,0.7438393097870046,0.2561606902129954,0.4876786195740092
1976,CALIFORNIA,CA,6,31,0,83155,0,NA,NA,NA,NA,83155,1,0,1
1976,CALIFORNIA,CA,6,32,0,92034,35394,NA,NA,NA,NA,127428,0.7222431490724174,0.2777568509275826,0.44448629814483476
1976,CALIFORNIA,CA,6,33,0,77807,95398,NA,NA,NA,NA,173205,0.4492191333968419,0.5507808666031581,-0.10156173320631617
1976,CALIFORNIA,CA,6,34,0,100988,98147,NA,NA,NA,NA,199135,0.5071333517463028,0.49286664825369725,0.01426670349260556
1976,CALIFORNIA,CA,6,35,0,87472,76765,NA,NA,NA,NA,164237,0.5325961872172531,0.4674038127827469,0.0651923744345062
1976,CALIFORNIA,CA,6,36,0,90830,49368,NA,NA,NA,NA,140198,0.6478694417894691,0.3521305582105308,0.29573888357893835
1976,CALIFORNIA,CA,6,37,0,49021,133634,NA,NA,NA,NA,182655,0.2683802797623936,0.7316197202376065,-0.46323944047521287
1976,CALIFORNIA,CA,6,38,0,103317,59092,NA,NA,NA,NA,162409,0.6361531688514799,0.36384683114852007,0.2723063377029598
1976,CALIFORNIA,CA,6,39,0,86745,122657,NA,NA,NA,NA,209402,0.41425105777404225,0.5857489422259577,-0.1714978844519155
1976,CALIFORNIA,CA,6,40,0,102132,148512,NA,NA,NA,NA,250644,0.40747833580696124,0.5925216641930388,-0.1850433283860775
1976,CALIFORNIA,CA,6,41,0,94590,128784,NA,NA,NA,NA,223374,0.4234602057535792,0.5765397942464208,-0.1530795884928416
1976,CALIFORNIA,CA,6,42,0,103062,32565,NA,NA,NA,NA,135627,0.7598929416709063,0.24010705832909376,0.5197858833418125
1976,CALIFORNIA,CA,6,43,0,93475,173576,NA,NA,NA,NA,267051,0.3500267739120992,0.6499732260879009,-0.2999464521758017
1976,COLORADO,CO,8,1,0,103037,89384,NA,NA,NA,NA,192421,0.5354768970122804,0.46452310298771965,0.07095379402456076
1976,COLORADO,CO,8,2,0,121340,118938,NA,NA,NA,NA,240278,0.5049983768801138,0.49500162311988616,0.009996753760227683
1976,COLORADO,CO,8,3,0,89302,82315,NA,NA,NA,NA,171617,0.5203563749511995,0.47964362504880054,0.040712749902398926
1976,COLORADO,CO,8,4,0,76995,119458,NA,NA,NA,NA,196453,0.3919258041363583,0.6080741958636416,-0.21614839172728334
1976,COLORADO,CO,8,5,0,64067,126784,NA,NA,NA,NA,190851,0.33569119365368794,0.6643088063463121,-0.32861761269262413
1976,CONNECTICUT,CT,9,1,0,128479,94106,NA,NA,NA,NA,222585,0.5772131994518948,0.4227868005481052,0.15442639890378956
1976,CONNECTICUT,CT,9,2,0,142684,74743,NA,NA,NA,NA,217427,0.6562386456143902,0.3437613543856099,0.31247729122878026
1976,CONNECTICUT,CT,9,3,0,121623,96714,NA,NA,NA,NA,218337,0.5570425534838346,0.44295744651616537,0.11408510696766921
1976,CONNECTICUT,CT,9,4,0,76722,126314,NA,NA,NA,NA,203036,0.37787387458381766,0.6221261254161824,-0.24425225083236474
1976,CONNECTICUT,CT,9,5,0,77308,157009,NA,NA,NA,NA,234317,0.3299291131245279,0.6700708868754721,-0.34014177375094423
1976,CONNECTICUT,CT,9,6,0,134914,102364,NA,NA,NA,NA,237278,0.5685904297912153,0.4314095702087846,0.1371808595824307
1976,DELAWARE,DE,10,0,0,102411,110636,NA,NA,NA,NA,213047,0.48069674766600795,0.519303252333992,-0.03860650466798404
1976,FLORIDA,FL,12,1,0,1,0,NA,NA,NA,NA,1,1,0,1
1976,FLORIDA,FL,12,2,0,1,0,NA,NA,NA,NA,1,1,0,1
1976,FLORIDA,FL,12,3,0,1,0,NA,NA,NA,NA,1,1,0,1
1976,FLORIDA,FL,12,4,0,1,0,NA,NA,NA,NA,1,1,0,1
1976,FLORIDA,FL,12,5,0,96260,138371,NA,NA,NA,NA,234631,0.4102612186795436,0.5897387813204564,-0.1794775626409128
1976,FLORIDA,FL,12,6,0,80821,151371,NA,NA,NA,NA,232192,0.3480783144983462,0.6519216855016539,-0.30384337100330766
1976,FLORIDA,FL,12,7,0,102739,53599,NA,NA,NA,NA,156338,0.6571594877764843,0.3428405122235157,0.31431897555296856
1976,FLORIDA,FL,12,8,0,103360,74794,NA,NA,NA,NA,178154,0.5801722105594037,0.41982778944059634,0.16034442111880737
1976,FLORIDA,FL,12,9,0,36630,130509,NA,NA,NA,NA,167139,0.2191589036670077,0.7808410963329923,-0.5616821926659845
1976,FLORIDA,FL,12,10,0,83413,164273,NA,NA,NA,NA,247686,0.3367691351146209,0.6632308648853791,-0.32646172977075816
1976,FLORIDA,FL,12,11,0,199031,0,NA,NA,NA,NA,199031,1,0,1
1976,FLORIDA,FL,12,12,0,91749,107268,NA,NA,NA,NA,199017,0.4610108684182758,0.5389891315817241,-0.0779782631634483
1976,FLORIDA,FL,12,13,0,127822,35357,NA,NA,NA,NA,163179,0.7833238345620454,0.21667616543795465,0.5666476691240907
1976,FLORIDA,FL,12,14,0,82665,30774,NA,NA,NA,NA,113439,0.7287176367915796,0.27128236320842036,0.4574352735831593
1976,FLORIDA,FL,12,15,0,121292,50941,NA,NA,NA,NA,172233,0.7042320577357417,0.2957679422642583,0.4084641154714834
1976,GEORGIA,GA,13,1,0,73826,0,NA,NA,NA,NA,73826,1,0,1
1976,GEORGIA,GA,13,2,0,95807,0,NA,NA,NA,NA,95807,1,0,1
1976,GEORGIA,GA,13,3,0,93174,11829,NA,NA,NA,NA,105003,0.887346075826405,0.11265392417359504,0.77469215165281
1976,GEORGIA,GA,13,4,0,110261,51140,NA,NA,NA,NA,161401,0.6831494228660293,0.3168505771339707,0.3662988457320586
1976,GEORGIA,GA,13,5,0,96056,47998,NA,NA,NA,NA,144054,0.6668055034917462,0.33319449650825383,0.33361100698349233
1976,GEORGIA,GA,13,6,0,77532,72400,NA,NA,NA,NA,149932,0.5171144252060934,0.4828855747939066,0.03422885041218682
1976,GEORGIA,GA,13,7,0,84587,68947,NA,NA,NA,NA,153534,0.5509333437544779,0.44906665624552217,0.10186668750895572
1976,GEORGIA,GA,13,8,0,90559,39623,NA,NA,NA,NA,130182,0.6956338049807193,0.3043661950192807,0.39126760996143856
1976,GEORGIA,GA,13,9,0,113245,29954,NA,NA,NA,NA,143199,0.7908225616100671,0.20917743838993288,0.5816451232201343
1976,GEORGIA,GA,13,10,0,94782,0,NA,NA,NA,NA,94782,1,0,1
1976,HAWAII,HI,15,1,0,60050,53745,NA,NA,NA,NA,113795,0.5277033261566852,0.47229667384331475,0.0554066523133705
1976,HAWAII,HI,15,2,0,124116,23917,NA,NA,NA,NA,148033,0.8384346733498612,0.1615653266501388,0.6768693466997224
1976,IDAHO,ID,16,1,0,79662,95833,NA,NA,NA,NA,175495,0.45392746232086384,0.5460725376791361,-0.09214507535827227
1976,IDAHO,ID,16,2,0,82237,84175,NA,NA,NA,NA,166412,0.49417710261279235,0.5058228973872076,-0.011645794774415297
1976,ILLINOIS,IL,17,1,0,126632,10147,NA,NA,NA,NA,136779,0.9258146352875807,0.07418536471241931,0.8516292705751614
1976,ILLINOIS,IL,17,2,0,127297,23037,NA,NA,NA,NA,150334,0.8467612117019436,0.15323878829805632,0.6935224234038873
1976,ILLINOIS,IL,17,3,0,115591,79434,NA,NA,NA,NA,195025,0.5926983720035893,0.40730162799641073,0.1853967440071786
1976,ILLINOIS,IL,17,4,0,64924,124847,NA,NA,NA,NA,189771,0.3421176049027512,0.6578823950972488,-0.31576479019449755
1976,ILLINOIS,IL,17,5,0,119336,35756,NA,NA,NA,NA,155092,0.7694529698501534,0.23054703014984654,0.5389059397003069
1976,ILLINOIS,IL,17,6,0,69359,106667,NA,NA,NA,NA,176026,0.39402701873586854,0.6059729812641315,-0.21194596252826292
1976,ILLINOIS,IL,17,7,0,88239,15854,NA,NA,NA,NA,104093,0.8476938891183845,0.15230611088161547,0.695387778236769
1976,ILLINOIS,IL,17,8,0,105595,25512,NA,NA,NA,NA,131107,0.8054108476282731,0.19458915237172691,0.6108216952565462
1976,ILLINOIS,IL,17,9,0,121915,47054,NA,NA,NA,NA,168969,0.7215228828956791,0.27847711710432094,0.4430457657913582
1976,ILLINOIS,IL,17,10,0,106804,106603,NA,NA,NA,NA,213407,0.5004709311315936,0.49952906886840637,9.418622631872098e-4
1976,ILLINOIS,IL,17,11,0,135755,65680,NA,NA,NA,NA,201435,0.6739394842008588,0.32606051579914114,0.34787896840171767
1976,ILLINOIS,IL,17,12,0,56644,151899,NA,NA,NA,NA,208543,0.27161784380199766,0.7283821561980023,-0.4567643123960046
1976,ILLINOIS,IL,17,13,0,49777,109726,NA,NA,NA,NA,159503,0.3120756349410356,0.6879243650589644,-0.3758487301179288
1976,ILLINOIS,IL,17,14,0,60505,176076,NA,NA,NA,NA,236581,0.2557475029693847,0.7442524970306154,-0.48850499406123066
1976,ILLINOIS,IL,17,15,0,87676,102555,NA,NA,NA,NA,190231,0.46089228359205386,0.5391077164079461,-0.07821543281589222
1976,ILLINOIS,IL,17,16,0,54002,114324,NA,NA,NA,NA,168326,0.3208179366229816,0.6791820633770184,-0.3583641267540368
1976,ILLINOIS,IL,17,17,0,81220,113145,NA,NA,NA,NA,194365,0.4178735883518123,0.5821264116481877,-0.16425282329637536
1976,ILLINOIS,IL,17,18,0,79102,108028,NA,NA,NA,NA,187130,0.4227114839950836,0.5772885160049164,-0.15457703200983275
1976,ILLINOIS,IL,17,19,0,60967,132571,NA,NA,NA,NA,193538,0.3150130723682171,0.6849869276317829,-0.36997385526356585
1976,ILLINOIS,IL,17,20,0,78634,137223,NA,NA,NA,NA,215857,0.36428746809230184,0.6357125319076982,-0.27142506381539633
1976,ILLINOIS,IL,17,21,0,46996,137037,NA,NA,NA,NA,184033,0.2553672439182103,0.7446327560817897,-0.4892655121635794
1976,ILLINOIS,IL,17,22,0,129187,81102,NA,NA,NA,NA,210289,0.6143307543428329,0.38566924565716704,0.22866150868566587
1976,ILLINOIS,IL,17,23,0,128113,34825,NA,NA,NA,NA,162938,0.7862683965680197,0.21373160343198025,0.5725367931360394
1976,ILLINOIS,IL,17,24,0,152344,73766,NA,NA,NA,NA,226110,0.673760559019946,0.326239440980054,0.34752111803989205
1976,INDIANA,IN,18,1,0,121155,48756,NA,NA,NA,NA,169911,0.713049773116514,0.28695022688348604,0.4260995462330279
1976,INDIANA,IN,18,2,0,117617,95605,NA,NA,NA,NA,213222,0.5516175629156466,0.4483824370843534,0.10323512583129318
1976,INDIANA,IN,18,3,0,101777,77094,NA,NA,NA,NA,178871,0.5689966512179169,0.4310033487820832,0.1379933024358337
1976,INDIANA,IN,18,4,0,88361,107762,NA,NA,NA,NA,196123,0.4505386925551822,0.5494613074448178,-0.09892261488963561
1976,INDIANA,IN,18,5,0,78807,127194,NA,NA,NA,NA,206001,0.38255639535730407,0.6174436046426959,-0.2348872092853918
1976,INDIANA,IN,18,6,0,105773,86854,NA,NA,NA,NA,192627,0.5491078613070857,0.4508921386929143,0.09821572261417139
1976,INDIANA,IN,18,7,0,77355,130005,NA,NA,NA,NA,207360,0.373046875,0.626953125,-0.25390625
1976,INDIANA,IN,18,8,0,109013,107013,NA,NA,NA,NA,216026,0.5046290724264672,0.4953709275735328,0.009258144852934358
1976,INDIANA,IN,18,9,0,136056,0,NA,NA,NA,NA,136056,1,0,1
1976,INDIANA,IN,18,10,0,114559,76890,NA,NA,NA,NA,191449,0.5983786804840976,0.4016213195159024,0.19675736096819518
